127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/js/share.js, HTTP/1.1, 304, 0.000324
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000537
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000292
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/images/twitter.png, HTTP/1.1, 304, 0.000802
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/images/facebook.png, HTTP/1.1, 304, 0.000441
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/images/gplus-32.png, HTTP/1.1, 304, 0.000901
127.0.0.1, 2016-01-29 15:44:57, GET, /, HTTP/1.1, 400, 0.000417
127.0.0.1, 2016-01-29 15:44:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000475
127.0.0.1, 2016-01-29 15:44:57, GET, /, HTTP/1.1, 400, 0.000232
127.0.0.1, 2016-01-29 15:44:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000297
127.0.0.1, 2016-01-29 15:45:03, GET, /, HTTP/1.1, 400, 0.000372
127.0.0.1, 2016-01-29 15:45:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000334
127.0.0.1, 2016-01-29 15:45:20, GET, /, HTTP/1.1, 400, 0.000246
127.0.0.1, 2016-01-29 15:45:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000364
127.0.0.1, 2016-01-29 15:45:24, GET, /, HTTP/1.1, 400, 0.000352
127.0.0.1, 2016-01-29 15:45:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000354
127.0.0.1, 2016-01-29 15:45:27, GET, /, HTTP/1.1, 400, 0.000267
127.0.0.1, 2016-01-29 15:45:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000255
127.0.0.1, 2016-01-29 15:45:29, GET, /, HTTP/1.1, 400, 0.000218
127.0.0.1, 2016-01-29 15:45:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000225
127.0.0.1, 2016-01-29 15:45:36, GET, /, HTTP/1.1, 200, 0.070150
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002421
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/js/jquery.js, HTTP/1.1, 304, 0.001727
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001306
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001302
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/css/calendar.css, HTTP/1.1, 304, 0.002163
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/js/web2py.js, HTTP/1.1, 304, 0.000519
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/js/calendar.js, HTTP/1.1, 304, 0.004305
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000936
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000536
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/js/share.js, HTTP/1.1, 304, 0.000743
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/images/background.jpg, HTTP/1.1, 304, 0.000836
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000561
127.0.0.1, 2016-01-29 15:45:37, GET, /Roadee/static/images/twitter.png, HTTP/1.1, 304, 0.001120
127.0.0.1, 2016-01-29 15:45:37, GET, /Roadee/static/images/facebook.png, HTTP/1.1, 304, 0.000588
127.0.0.1, 2016-01-29 15:45:37, GET, /Roadee/static/images/gplus-32.png, HTTP/1.1, 304, 0.001124
127.0.0.1, 2016-01-29 15:46:05, GET, /, HTTP/1.1, 200, 0.008766
